feature,mean_abs_shap,mean_shap
checking_status,0.5807526669351735,-0.04690913737694303
savings_account_bonds,0.34101001027647093,-0.054266614335897446
credit_history,0.2788026066914906,-0.027346255893694264
installment_rate,0.25374870910906167,-0.0012911449097290795
purpose,0.24989149920924786,-0.05822979694139668
duration_in_month,0.24506688050876668,0.04091108620408813
number_of_existing_credits,0.1776120531861703,0.006110187912581308
age_in_years,0.17111787926921587,0.007260499792202073
housing,0.16587909091272907,-0.009403996873890678
property,0.164160839095618,-0.002571338046435746
present_employment_since,0.14495629145810554,-0.013483616397969543
credit_amount,0.11723150936570358,0.004654906411600948
other_installment_plans,0.08859913348535349,-0.013967434597885771
job,0.07555907283431758,0.003663039567214948
telephone,0.06093407969128732,0.0012641925247155017
present_residence_since,0.04592868300758966,-0.003550550245948385
other_debtors_guarantors,0.04375206830889347,5.076090057393956e-05
foreign_worker,0.02887606085016657,-0.0030706147224762483
number_of_people_liable,0.013943347375139536,0.0011237837900575898
