scenario,model,threshold,roc_auc,balanced_accuracy,f1,log_loss,positive_prediction_rate,abs_demographic_parity_difference,demographic_parity_ratio,abs_equal_opportunity_difference,abs_average_odds_difference
clean_test,baseline,0.29000000000000004,0.79,0.7071428571428571,0.5915492957746479,0.4909394601182727,0.41,0.10705937353903694,1.284119106699752,0.07407407407407407,0.037037037037037035
clean_test,fair_reweighing,0.28,0.7916666666666666,0.7154761904761905,0.6013986013986015,0.4897196271032486,0.415,0.09981299672744276,1.2598904443091905,0.04377104377104368,0.02188552188552184
clean_test,fair_postprocessing,0.265,0.79,0.7333333333333334,0.6216216216216216,0.4909394601182727,0.44,0.20383356708742406,1.5409429280397022,0.2222222222222222,0.13968253968253969
perturbed_test,baseline,0.29000000000000004,0.7651190476190476,0.7095238095238096,0.5942028985507246,0.5155142465184721,0.39,0.0892940626460963,1.2464516129032257,0.1717171717171717,0.04300144300144301
perturbed_test,fair_reweighing,0.28,0.766547619047619,0.6964285714285714,0.5793103448275863,0.5143204667151074,0.425,0.08532024310425435,1.2140762463343109,0.2087542087542087,0.05199615199615197
perturbed_test,fair_postprocessing,0.265,0.7651190476190476,0.7166666666666666,0.6027397260273971,0.5155142465184721,0.43,0.21832632071061248,1.6025806451612905,0.28282828282828276,0.16998556998556996
