feature,mean_abs_shap,mean_shap
checking_status,0.5758360006598114,-0.04662149582970923
savings_account_bonds,0.34622855074661407,-0.05524457765434567
credit_history,0.289886202695025,-0.02868187309591936
installment_rate,0.25102703120561143,-0.0012772962458943071
purpose,0.2507799684312631,-0.05789300733374974
duration_in_month,0.24331476356895596,0.04061859051060466
age_in_years,0.17814770667318355,0.007558774061516876
housing,0.17100869961596346,-0.009482940655010654
number_of_existing_credits,0.17048335975205706,0.005864947481697029
property,0.16348300819105674,-0.0026886559363764107
present_employment_since,0.1486410894967468,-0.014623983769946456
credit_amount,0.1119168794422275,0.0044438786338308845
other_installment_plans,0.08496147906536318,-0.013142810555861919
job,0.07506789842329205,0.0035032606062877303
telephone,0.06301850125936875,0.0013074377854640836
present_residence_since,0.05634547526494167,-0.004355827948015799
other_debtors_guarantors,0.044511514894658974,7.059010560690388e-05
foreign_worker,0.028636858036869488,-0.0030451784386292553
number_of_people_liable,0.01855317254697464,0.0014953191655832873
