feature,importance_mean,importance_std
checking_status,0.09865476190476188,0.026387143097760277
duration_in_month,0.029440476190476163,0.0077518284727670465
purpose,0.025499999999999957,0.004325476917854658
credit_history,0.012785714285714234,0.011495118751106525
other_installment_plans,0.012571428571428544,0.0032134919654862853
savings_account_bonds,0.010726190476190422,0.01775051099516771
credit_amount,0.009511904761904711,0.00431256469930762
age_in_years,0.008392857142857101,0.007856827194236271
present_employment_since,0.008142857142857085,0.006542682121454753
foreign_worker,0.003249999999999964,0.00208591676555765
other_debtors_guarantors,0.0031547619047618603,0.001674513839488771
telephone,0.001964285714285663,0.0030939786815090665
installment_rate,0.0013571428571428124,0.006464888597686655
number_of_existing_credits,0.0010595238095237546,0.00407221170413146
number_of_people_liable,-0.0007857142857143229,0.0006822166086616429
present_residence_since,-0.003488095238095268,0.0017785969272093244
job,-0.0039642857142857535,0.0019452905512540068
housing,-0.00432142857142861,0.006289512290520435
property,-0.008916666666666694,0.0049751223506189325
