feature,mean_abs_shap,mean_shap
checking_status,0.5691087701732187,-0.04448351704992747
savings_account_bonds,0.3221736101375297,-0.05355298838325028
credit_history,0.289374292012187,-0.027785786739562404
installment_rate,0.2663300080304114,-0.0013551621026327344
duration_in_month,0.24986378699396009,0.0417118743575966
purpose,0.24912070126724914,-0.056353911956796614
number_of_existing_credits,0.18406673015003583,0.006332240912120064
property,0.16106065677304351,-0.0019467396881441457
present_employment_since,0.14086619897538644,-0.011563361805381058
housing,0.13546176470722848,-0.00806330670008797
credit_amount,0.11939520061299312,0.004740820005260429
other_installment_plans,0.08728810253393496,-0.013105391025784098
job,0.08300288509373605,0.0041157522823423
personal_status_sex,0.08111472971165952,-0.006061977172078206
telephone,0.06448365071685334,0.0013378350771131391
other_debtors_guarantors,0.04602481961856562,0.0001494376996100194
present_residence_since,0.028292779226567363,-0.0021871938767513105
foreign_worker,0.028201752081717216,-0.0029989102596466683
number_of_people_liable,0.010115063571949223,-0.0008152378458149685
