scenario,model,threshold,roc_auc,balanced_accuracy,f1,log_loss,positive_prediction_rate,abs_demographic_parity_difference,demographic_parity_ratio,abs_equal_opportunity_difference,abs_average_odds_difference
clean_test,baseline,0.26,0.8010714285714285,0.7107142857142856,0.5960264900662252,0.4808611627116995,0.455,0.08750000000000002,1.2,0.14363885088919282,0.008274274942924181
clean_test,fair_reweighing,0.25,0.7942857142857143,0.7142857142857143,0.6,0.488915031547005,0.45,0.0625,1.1428571428571428,0.22571819425444595,0.04504044235204646
clean_test,fair_postprocessing,0.2975,0.8010714285714285,0.7059523809523809,0.5906040268456376,0.4808611627116995,0.445,0.03749999999999998,1.0857142857142856,0.20246238030095753,0.059425170083589135
perturbed_test,baseline,0.26,0.7579761904761905,0.6916666666666667,0.5751633986928104,0.5152824082243542,0.465,0.10625000000000007,1.23943661971831,0.12038303693570451,0.016545753921594047
perturbed_test,fair_reweighing,0.25,0.7548809523809524,0.7011904761904761,0.5859872611464968,0.5235791318016312,0.485,0.14375,1.3150684931506849,0.0848153214774281,0.05179523781201059
perturbed_test,fair_postprocessing,0.2975,0.7579761904761905,0.6702380952380953,0.5503355704697988,0.5152824082243542,0.445,0.006250000000000033,1.0140845070422535,0.29685362517099867,0.09342867063083565
