feature,importance_mean,importance_std
checking_status,0.08447619047619045,0.024759226045585857
duration_in_month,0.0284880952380952,0.007371931891885194
purpose,0.025261904761904742,0.007577790079853812
credit_history,0.02382142857142855,0.007655317316738387
savings_account_bonds,0.023738095238095225,0.010508769688351356
credit_amount,0.012595238095238059,0.004421076607269667
other_installment_plans,0.01154761904761904,0.002977618704926374
personal_status_sex,0.00980952380952379,0.0052654049982806175
installment_rate,0.007773809523809483,0.010115132295750973
present_employment_since,0.0061904761904761465,0.004688723385328563
other_debtors_guarantors,0.003988095238095202,0.00373067583379617
foreign_worker,0.0026666666666666393,0.0022632827882507088
telephone,0.0018928571428571072,0.0014300091971224797
number_of_existing_credits,7.142857142854453e-05,0.006177688256908612
housing,-0.0006071428571428727,0.005168764660720561
number_of_people_liable,-0.0007023809523809766,0.0005309310266899375
present_residence_since,-0.0014761904761904977,0.0013375782766845911
job,-0.003345238095238112,0.003019424078977244
property,-0.011440476190476213,0.004706357571126689
