feature,mean_abs_shap,mean_shap
checking_status,0.55971778484101,-0.04577200204621226
savings_account_bonds,0.34694112489807083,-0.05375896500754216
credit_history,0.2924912464466107,-0.029145073092038874
installment_rate,0.2660555130818232,-0.001353765395012555
duration_in_month,0.25379000707991284,0.04236731146953586
purpose,0.2463170814480107,-0.05751543265738848
housing,0.17850328661796944,-0.007349153838078842
property,0.15546672271148107,-0.002316559884297944
number_of_existing_credits,0.15010988511106843,0.005164061723914776
present_employment_since,0.13031985815277985,-0.011051402793235587
credit_amount,0.12057819375556797,0.004787793062197479
personal_status_sex,0.10958368972515294,-0.006406767617897071
other_installment_plans,0.08511363282769191,-0.013682301788197546
job,0.08492563309134256,0.003941351481358561
telephone,0.07761228698471184,0.001610213422919331
other_debtors_guarantors,0.047185225286066466,0.00010278977499862952
foreign_worker,0.02931246555923623,-0.003117021008000464
present_residence_since,0.020226209655092836,-0.0015636018488408702
number_of_people_liable,0.005866575642031255,0.0004728249560371759
