feature,importance_mean,importance_std
checking_status,0.0976785714285714,0.027522885241524738
duration_in_month,0.03236904761904759,0.0075366545715933615
purpose,0.02157142857142854,0.0043139939983369135
credit_history,0.01410714285714284,0.0127475765781885
savings_account_bonds,0.010773809523809496,0.01646375201421255
other_installment_plans,0.010011904761904722,0.0031314050007802416
credit_amount,0.0074285714285713955,0.004748851155973135
present_employment_since,0.005916666666666637,0.007901040790821892
personal_status_sex,0.0038809523809523296,0.0019300405926670023
foreign_worker,0.003166666666666629,0.001927836426666391
number_of_existing_credits,0.0022261904761904485,0.0052820262766576365
other_debtors_guarantors,0.002119047619047576,0.001398290177145338
installment_rate,0.001988095238095189,0.007409516541188758
number_of_people_liable,0.000702380952380921,0.0005695654149478751
telephone,0.00047619047619044117,0.0031841621957571257
present_residence_since,-0.0012619047619047974,0.0007006637604553345
housing,-0.0034761904761905103,0.006483189495282879
job,-0.006357142857142883,0.0028333333333333396
property,-0.013035714285714295,0.0046642516831934015
